Major,Minor,ComplexDescr,NbrBldgs,NbrStories,NbrUnits,AvgUnitSize,ProjectLocation,ProjectAppeal,PcntWithView,ConstrClass,BldgQuality,Condition,YrBuilt,EffYr,PcntComplete,Elevators,SectySystem,Fireplace,Laundry,Address
69600,305,BAYVIEW TOWER,1,13,100,550,3,3,30,1,6,3,1979,1991,100,Y,Y,N,1,2614 4TH AVE 98121
722750,600,ED BIGGINS APTS,1,2,4,763,3,3,0,4,4,3,1961,1982,100,N,N,N,1,900 GLENNWOOD AVE NE 98056
952810,711,4-PLEX,1,2,4,617,4,3,0,4,4,4,1955,1986,100,N,N,N,1,7319 WOODLAWN AVE NE 98115
197220,2476,6 UNIT APT,1,2,6,652,2,2,33,4,3,3,1900,1970,100,N,N,N,0,3501 ALBION PL N 98103
276770,4620,32 UNIT APT,1,4,32,870,3,3,0,4,4,3,1991,1993,100,Y,Y,Y,2,1425 NW 61ST ST 98107
860240,0,2 FLAT UNITS,1,1,2,920,3,3,0,4,4,3,1976,1986,100,N,N,Y,2,3441 22ND AVE W 98199
782120,620,,1,5,146,763,3,3,0,3,5,3,1997,1997,100,Y,Y, ,2,4400 STONE WAY N 98103
720255,0,37 UNIT CONDO,1,4,37,1442,4,4,0,4,5,4,1977,1977,100,Y,Y,N,2,28303 SOUND VIEW DR S 98198
192504,9050,CHATEAU D'EMIL,1,4,8,920,3,3,75,4,4,3,1967,1984,100,N,Y,N,1,1744 DEXTER AVE N 98109
614010,135, ,1,2,7,848,3,3,0,4,5,3,1947,1997,0,N,N,N,0,11544 GREENWOOD AVE N 98133
276980,0,6 UNIT CONDO,2,2,6,1179,3,3,0,4,5,3,1996,1996,100,N,N, ,2,185 NW JUNIPER ST 98027
165880,0,1 SFR & 1 Beach Cabin Converted to Condo,2,3,2,2153,5,3,0,4,5,5,1958,1996,100,N,N,Y,2,14101 SW POHL RD 98070
113000,160,ALTA CASA APARTMENT,1,4,15,683,3,3,20,4,4,3,1923,1976,100,N,Y,N,1,1645 10TH AVE E 98102
880490,100,PORTER APT,1,4,36,630,3,3,15,3,4,4,1917,1984,100,Y,Y,N,1,1630 BOYLSTON AVE 98122
683785,0,20 UNIT CONDO,5,2,20,1085,3,3,0,4,4,4,1979,1979,100,N,N, ,2,134 SEMANSKI ST 98022
803620,55,,1,1,100,255,3,3,0,4,5,4,1959,1984,100, ,Y, ,1,219 CEDAR AVE S 98045
780404,0,New Townhouses,3,3,3,2828,4,4,0,4,7,3,2007,2007,100,Y,Y,Y,2,10139 NE 62ND ST 98033
145360,481,CASA VILLA APTS,1,2,10,676,3,3,0,4,4,3,1962,1982,100,N,N,Y,1,3035 NE 130TH ST 98125
277060,870,SEA HOUSING AUTH-5 UNITS,1,2,5,1042,3,3,0,4,4,3,1984,1990,100,N,N,N,2,2620 23RD AVE W 98199
410955,0,"30 Res Units + 1 Coml,3 Flrs PKG",1,6,30,1178,3,3,0,2,6,5,1995,1995,100,Y,Y,Y,2,15020 BOTHELL WAY NE 98155
176070,0,35 RES UNITS + 3 COM'L UNITS,2,4,38,913,3,3,0,4,4,3,1992,1994,100,Y,Y,Y,2,500 ALOHA ST 98109
859040,930,APARTMENT BLDG,1,2,8,975,3,3,0,4,4,2,1906,1965,100,N,Y,N,1,909 9TH AVE 98104
388580,7705,APT,1,2,9,788,4,3,0,4,4,3,1977,1987,100,N,N,N,1,421 7TH AVE 98033
630000,653,ED JOHN APTS,1,2,8,649,3,3,0,4,4,3,1978,1990,100,N,Y,N,1,10519 MIDVALE AVE N 98133
165750,0,14 RES CONDO,7,2,14,1836,3,3,0,4,6,3,1984,1984,100,N,N,Y,2,12326 101ST CT NE 98034
751850,8705,SUNSET VILLA APTS,1,3,18,661,3,3,0,4,6,3,1963,1986,100,N,Y,N,1,6736 24TH AVE NW 98117
277060,3665,THE SANDPIPER,1,4,14,936,3,3,79,4,4,4,1967,1992,100,N,Y,N,1,3237 14TH AVE W 98119
292604,9249,5 UNIT APT -- the MIL'YON APARTMENTS,1,3,5,960,3,3,0,4,5,3,1977,1990,100,N,Y,N,1,10622 MERIDIAN AVE N 98133
216390,470,THE MARK SPENCER,1,5,40,639,3,3,85,4,4,3,1958,1980,100,Y,N,N,1,727 BELLEVUE AVE E 98102
894434,0,TOWNHOUSES,5,3,20,2233,4,4,0,4,5,3,2007,2007,100,N,N,Y,2,15280 15TH PL 98007
