"","Major","Minor","ComplexDescr","NbrBldgs","NbrStories","NbrUnits","AvgUnitSize","ProjectLocation","ProjectAppeal","PcntWithView","ConstrClass","BldgQuality","Condition","YrBuilt","EffYr","PcntComplete","Elevators","SectySystem","Fireplace","Laundry","Address"
"22",859040,930,"APARTMENT BLDG",1,2,8,975,3,3,0,4,4,2,1906,1965,100,"N","Y","N",1,"909 9TH AVE 98104"
"147",60500,0," ",1,1,1,1392,0,0,0,4,5,4,1930,1975,100,"N","N","N",1,"2810 16TH AVE S 98144"
"153",551190,0,"FLATS",1,4,23,1080,3,2,0,4,4,3,2002,2002,100,"Y","Y","Y",2,"1515 E YESLER WAY 98144"
"173",367940,110,"ELMA APTS",1,3,9,582,3,3,0,4,5,3,1961,1986,100,"N","N","N",1,"1458 S COLUMBIAN WAY 98144"
"241",149830,940," ",1,2,4,1015,3,3,50,4,4,4,1902,1988,100,"N","N","N",0,"2020 14TH AVE S 98144"
"264",364610,125,"APARTMENT BLDG 18 UNITS",1,3,18,878,3,3,0,4,4,4,1967,1985,100,"N","Y","N",2,"209 22ND AVE S 98144"
"311",59600,0,"Flats",1,2,4,553,3,3,0,4,4,4,1954,2002,100,"N","N","N",0,"1702 14TH AVE S 98144"
"392",128230,1030,"12 UNIT APTS",2,3,12,957,2,3,0,4,4,3,1992,1994,100,"N","N","N",1,"3300 WETMORE AVE S 98144"
"410",754830,125,"7 UNIT",1,2,7,690,3,3,60,4,4,2,1900,1965,100,"N","Y","N",1,"1544 14TH AVE S 98144"
"437",524780,2245," ",1,5,50,855,2,3,25,4,4,3,2005,2005,100,"Y","Y","N",1,"651 S MAIN ST 98104"
"438",149830,790,"VERN LYNN APTS",1,2,6,804,3,3,25,4,4,4,1904,1979,100,"N","N","N",1,"2111 14TH AVE S 98144"
"510",766010,105,"APARTMENTS",1,4,21,779,3,3,30,4,6,3,1963,1986,100,"N","Y","N",1,"1340 12TH AVE S 98144"
"520",140030,9,"FOURPLEX",1,2,4,779,3,3,0,4,3,3,1900,1970,100,"N","N","N",1,"710 24TH AVE S 98144"
"550",93900,100,"20 unit apt + Retail",1,6,20,1255,3,3,0,3,4,5,1900,1991,100,"Y","Y","N",2,"606 2ND AVE 98104"
"582",859040,790,"",1,3,52,627,2,3,25,3,4,4,1948,1984,100,"N","N","N",1,"804 JAMES ST 98104"
"627",524780,2065," ",1,7,136,600,2,3,36,4,4,3,2005,2005,100,"Y","Y","N",1,"609 YESLER WAY 98104"
"659",94200,555," ",1,3,112,234,3,3,0,2,4,4,1916,1987,100,"Y","Y","N",1,"317 MARION ST 98104"
"731",347000,0,"120 Room Full Service Hotel",1,10,120,0,0,0,0,1,8,3,2006,2006,100,"Y","Y","Y",0,"1000 1ST AVE 98104"
"739",360,8,"4 PLEX",1,2,4,675,3,3,0,4,4,3,1959,1981,100,"N","N","N",1,"2810 S MCCLELLAN ST 98144"
"744",787270,0,"16 FLAT UNITS",1,4,16,704,3,3,60,4,4,5,1968,1992,100,"N","Y","N",2,"1723 13TH AVE S 98144"
"765",884770,0," ",1,3,34,683,0,0,53,3,5,4,1900,1990,100,"N"," ","N",1,"2300 S MASSACHUSETTS ST 98144"
"789",155490,0,"68 UNIT",18,3,68,1144,4,3,0,4,4,3,1997,1997,100,"N","N"," ",2,"1515 S ATLANTIC ST 98144"
"878",128230,510,"FIVE UNIT APT",1,3,5,859,3,3,0,4,4,3,1992,1994,100,"N","N","N",2,"3315 CLAREMONT AVE S 98144"
"884",766010,150,"APARTMENTS",1,3,6,816,3,3,30,4,5,3,1959,1985,100,"N","N","N",1,"1201 12TH AVE S 98144"
"935",156170,0,"TOWNHOUSES",2,2,4,1174,3,3,0,4,4,3,1980,1982,100,"N","N","Y",2,"922 28TH AVE S 98144"
"972",859040,755,"TERRACE CREST APT'S",1,3,34,685,2,3,0,3,4,3,1930,1977,100,"N","N","N",1,"517 9TH AVE 98104"
"986",427910,0,"32 UNIT CONDOMINIUM",1,4,32,594,5,3,0,3,4,4,1957,1985,100,"N","Y","N",1,"720 LAKESIDE AVE S 98144"
"1023",197920,245,"PAUL REVERE APTS",1,4,66,409,3,3,0,3,4,4,1923,1981,100,"N","Y","N",1,"1018 9TH AVE 98104"
"1033",138980,115," ",1,4,18,1153,3,3,75,4,4,3,2003,2003,100,"Y","Y","N",0,"2523 15TH AVE S 98144"
"1128",765860,195," ",1,3,6,1092,0,0,0,4,4,3,2004,2004,100," "," "," ",0,"1123 23RD AVE S 98144"
"1161",524780,2375,"GEE HOW OAK TIN",1,3,21,477,2,3,0,3,4,3,1907,1974,100,"N","Y","N",1,"519 7TH AVE S 98104"
"1189",766010,360,"BEACON APTS",1,2,6,633,3,3,0,4,5,3,1908,1975,100,"N","N","N",0,"1718 12TH AVE S 98144"
"1266",94200,1090,"APARTMENTS",1,3,12,459,2,2,0,4,3,3,1902,1970,100,"N","Y","N",1,"411 JEFFERSON ST 98104"
