"","Major","Minor","BldgNbr","NbrBldgs","Address","BuildingNumber","Fraction","DirectionPrefix","StreetName","StreetType","DirectionSuffix","ZipCode","NbrStories","PredominantUse","Shape","ConstrClass","BldgQuality","BldgDescr","BldgGrossSqFt","BldgNetSqFt","YrBuilt","EffYr","PcntComplete","HeatingSystem","Sprinklers","Elevators"
"1",884905,0,1,1,"512       S  WELLER                    ST      98104","512","   ","S ","WELLER                   ","ST  ","  ","98104",6,459,4,4,4,"Uwajimaya Village                                 ",294707,199693,2003,2003,100,17,"Y","Y"
"2",308500,1665,2,1,"3001         24TH                      AVE  S  98144","3001","   ","  ","24TH                     ","AVE ","S ","98144",1,365,2,4,4,"HALL & CLASSROOMS                                 ",15474,15474,1961,1967,100,3,"N"," "
"3",182404,9058,2,1,"3625         1ST                       AVE  S  98134","3625","   ","  ","1ST                      ","AVE ","S ","98134",1,406,2,4,2,"STORAGE                                           ",1620,1620,1943,1943,100,20,"N"," "
"4",766620,4180,1,1,"2900         4TH                       AVE  S  98134","2900","   ","  ","4TH                      ","AVE ","S ","98134",1,494,2,3,4,"Industrial Light Manufacturing                    ",41248,41248,1937,1965,100,19,"Y"," "
"5",766620,4990,2,1,"1555         4TH                       AVE  S  98134","1555","   ","  ","4TH                      ","AVE ","S ","98134",1,407,1,5,4,"WHSE/LDG DOCK                                     ",484,484,1998,1998,100,20," "," "
"6",364650,0,1,1,"123       S  JACKSON                   ST      98104","123","   ","S ","JACKSON                  ","ST  ","  ","98104",2,300,3,3,6,"Mixed Use Condominium                             ",6885,6885,1902,2000,100,2,"Y"," "
"7",524780,105,1,1,"219          1ST                       AVE  S  98104","219","   ","  ","1ST                      ","AVE ","S ","98104",4,344,2,3,4,"OFFICE BUILDING W/RETAIL ON 1ST FLOOR             ",33300,22378,1900,1987,100,7,"Y","Y"
"8",159460,80,1,1,"2468      S  COLLEGE                   ST      98144","2468","   ","S ","COLLEGE                  ","ST  ","  ","98144",1,352,2,4,2,"4-PLEX                                            ",2392,2392,1904,1970,100,2,"N","N"
"9",357320,250,3,1,"4634         EAST MARGINAL             WAY  S  98134","4634","   ","  ","EAST MARGINAL            ","WAY ","S ","98134",2,344,2,4,4,"OFFICE BUILDING ""C""                             ",24689,20744,1983,1983,100,12,"Y"," "
"10",767180,250,2,1,"1711         13TH                      AVE  SW 98134","1711","   ","  ","13TH                     ","AVE ","SW","98134",1,406,2,5,6,"WAREHOUSE                                         ",5250,5250,1968,1975,100,20,"N"," "
"11",859090,455,1,1,"415          BOREN                     AVE     98104","415","   ","  ","BOREN                    ","AVE ","  ","98104",3,352,2,3,4,"THE MONTICELLO APTS                               ",51098,42513,1957,1985,100,1,"N","N"
"12",766620,4795,1,1,"1064         4TH                       AVE  S  98134","1064","   ","  ","4TH                      ","AVE ","S ","98134",3,344,2,2,6,"OFFICE WITH WAREHOUSE SHOWROOM                    ",56700,56700,1910,1988,100,4,"N"," "
"13",94200,720,1,1,"525          COLUMBIA                  ST      98104","525","   ","  ","COLUMBIA                 ","ST  ","  ","98104",63,0,2,1,6,"OFFICE                                            ",1195387,1011547,1990,1994,100,17,"Y","Y"
"14",524780,1430,1,1,"216          4TH                       AVE  S  98104","216","   ","  ","4TH                      ","AVE ","S ","98104",1,353,2,4,2,"Restaurant & Tavern                               ",3600,3600,1900,1955,100,6,"N"," "
"15",912200,975,1,1,"2347         RAINIER                   AVE  S  98144","2347","   ","  ","RAINIER                  ","AVE ","S ","98144",1,353,2,4,4,"RETAIL STORE                                      ",1760,1760,1931,1970,100,1,"N"," "
"16",331950,1835,1,1,"1814      S  WELLER                    ST      98144","1814","   ","S ","WELLER                   ","ST  ","  ","98144",2,352,2,4,4,"FOUR PLEX                                         ",3488,2875,1916,1975,100,2,"N","N"
"17",332000,160,1,1,"308          14TH                      AVE  S  98144","308","   ","  ","14TH                     ","AVE ","S ","98144",1,528,2,3,4,"AUTO SERVICE GARAGE                               ",4600,4600,1999,1999,100,6," "," "
"18",766620,5945,1,1,"3228         1ST                       AVE  S  98134","3228","   ","  ","1ST                      ","AVE ","S ","98134",1,830,2,4,3,"EVENT SPACE/OPEN OFFICE/CAFE                      ",20975,20975,1937,1959,100,6,"N"," "
"19",93900,260,1,1,"710          2ND                       AVE     98104","710","   ","  ","2ND                      ","AVE ","  ","98104",15,344,2,2,6,"DEXTER HORTON OFFICE BUILDING                     ",388934,313380,1922,1992,100,8,"Y","Y"
"20",766620,7786,4,1,"17        S  MASSACHUSETTS             ST      98134","17","   ","S ","MASSACHUSETTS            ","ST  ","  ","98134",4,344,2,1,8,"OFFICE BUILDING / COMMAND CENTER                  ",60694,57339,2006,2006,100,17,"Y","Y"
"21",690920,525,1,1,"1401         31ST                      AVE  S  98144","1401","   ","  ","31ST                     ","AVE ","S ","98144",1,353,2,4,4,"RETAIL STORE                                      ",1458,1458,1960,1980,100,2,"N"," "
"22",182404,9099,1,1,"3667         1ST                       AVE  S  98134","3667","   ","  ","1ST                      ","AVE ","S ","98134",1,494,2,3,4,"WAREHOUSE - FOOD PROCESSING                       ",11100,11100,1948,1975,100,20,"Y"," "
"23",128230,825,1,1,"3330         RAINIER                   AVE  S  98144","3330","   ","  ","RAINIER                  ","AVE ","S ","98144",1,419,2,4,5,"RESTAURANT                                        ",4131,3997,1982,2000,100,3,"N"," "
"24",539360,510,1,1,"1425      S  COLLEGE                   ST      98144","1425","   ","S ","COLLEGE                  ","ST  ","  ","98144",1,352,2,4,4,"4-PLEX                                            ",2608,2416,1957,1979,100,2,"N","N"
"25",982070,95,1,1,"206          5TH                       AVE  S  98104","206","   ","  ","5TH                      ","AVE ","S ","98104",1,350,2,3,4,"RESTAURANT/RETAIL                                 ",4570,4570,1924,1970,100,6,"N"," "
"26",766620,5125,1,1,"1907         4TH                       AVE  S  98134","1907","   ","  ","4TH                      ","AVE ","S ","98134",1,349,2,4,6,"FAST FOOD REST                                    ",2687,2687,1992,1992,100,12,"Y"," "
"27",524780,70,1,1,"77        S  WASHINGTON                ST      98104","77","   ","S ","WASHINGTON               ","ST  ","  ","98104",5,424,2,3,4,"SHELTER & MISSION TO HOMELESS                     ",21600,21600,1903,2004,100,7,"Y","Y"
