block no,block,parcel,land,bldg,developed,notes/comments,,,,
4,4th-5th/Washington-Main,1/4 block parking lot on SE corner,X,,X,"parking lot, owned by Moriguchi family",,,,
4,4th-5th/Washington-Main,1/4 block parking lot on NE corner,X,,X,parking lot,,,,
4,4th-5th/Washington-Main,1/4 block parking lot on NW corner,X,,X,parking lot,,,,
4,4th-5th/Washington-Main,1/4 block parking lot on SW corner,,X,,being developed by Inter*Im,,,,
5,5th-6th/Washington-Main,1/4 block parcel where MPA offices and parking lot are located,,,X,,,,,
5,5th-6th/Washington-Main,1/4 block parking lot on NE corner,X,,X,,,,,
5,5th-6th/Washington-Main,Ascona Apts. on NW corner,,,,,,,,
5,5th-6th/Washington-Main,International Terrace on SE corner,,,,,,,,
9,5th-6th/Main-Jackson,1/2 block parking on west half of block,X,,X,"parking lot, owned by Moriguchi family",,,,
9,5th-6th/Main-Jackson,"Governor Apts, on SE corner",,,,historic buildng,,,,
9,5th-6th/Main-Jackson,mixed use buildings on NE corner,,,,historic buildng,,,,
10,6th-Maynard/Main-Jackson,1/4 block parking lot on NE corner,,X,X,owner paid $1.5 million; want more on sale,,,,
10,6th-Maynard/Main-Jackson,1/4 block building where Higo store is on SW corner,,,X,contributing building to historic district; can it be added to?,,,,
10,6th-Maynard/Main-Jackson,NP Hotel and Panama Hotel ,,,,historic buildings,,,,
10,6th-Maynard/Main-Jackson,Far East Apts. and International Apts on SE corner,,,,historic buildings,,,,
11,Maynard-7th/Main-Jackson,Nihonmachi Terrace apartments at NW corner,,,,,,,,
11,Maynard-7th/Main-Jackson,Rainier H&P Building and Jackson Building along S. Jackson St.,,,,historic buildings,,,,
11,Maynard-7th/Main-Jackson,1/4 block vacant lot east of Nihonmachi Terrace,X,,X,,,,,
11,Maynard-7th/Main-Jackson,1/8 block parking lot behind Jackson Bldg.,X,,X,owned by T&C partnership,,,,
12,7th-8th/Main-Jackson,2/3 block parcel with building and parking lot on west half of block,X,,X,owned by Tai Tung family,,,,
12,7th-8th/Main-Jackson,freeway,,,,,,,,
14,5th-6th/Jackson-King,1/4 block with B of A bank and parking lot at NE corner,,,X,Cecil Leong owns site,,,,
14,5th-6th/Jackson-King,underdeveloped 1/3 block at King and 5th,,,X,Cecil Leong owns site,,,,
14,5th-6th/Jackson-King,Buty Building at NW corner,,,,historic building,,,,
14,5th-6th/Jackson-King,American Hotel at SE corner,,,,fully developed,,,,
15,6th-Maynard/Jackson-King,post office building on SW corner--1/4 block,,,X,will become expansion of Hing Hay Park after USPS relocates,,,,
15,6th-Maynard/Jackson-King,Washington Federal Bank on NW corner,,,X,,,,,
15,6th-Maynard/Jackson-King,Hing Hay Park on SE corner,,,,,,,,
15,6th-Maynard/Jackson-King,Bush Hotel on NE corner,,,,historic building,,,,
16,Maynard-7th/Jackson-King,fully developed,,,,"Milwaukie Hotel, Evergreen Apts., T&C building, Atlas Hotel",,,,
17,7th-8th/Jackson-King,1/4 block 7th Ave. Service site on NW corner,,,X,owned by Barry Mar; $1.5 MM for cleanup,,,,
17,7th-8th/Jackson-King,1/4 block House of Hong site on NE corner,,,X,,,,,
17,7th-8th/Jackson-King,1/4 block Four Seas site on SE corner,,,X,,,,,
17,7th-8th/Jackson-King,Republic Hotel and New American Apts. along 7th Ave. S.,,,,historic buildings,,,,
18,8th-10th/Jackson-King(west of I5),1/4 block building with adjacent small parking lot at SW corner,,,X,"owned by Hip Sing, historic building",,,,
18,8th-10th/Jackson-King(west of I5),Don Hee Apts. And parking lot at north end,,,,historic building,,,,
19,5th-6th/King-Weller,old Umajimaya store site/Publix Hotel site and parking lot--one full block,,,X,owned by Moriguchi family; Publix is a historic building,,,,
20,6th-Maynard/King-Weller,"Alps Hotel, Hong Kong Bldg, Freedman Bldg., Ohio Hotel along Maynard",,,,historic buildings,,,,
20,6th-Maynard/King-Weller,2 story commerical building at NW corner,,,X,,,,,
20,6th-Maynard/King-Weller,1/4 block low rise building on SW corner,,,X,,,,,
21,Maynard-7th/King-Weller,Louisa Building at 7th and King--1/4 block,,upstairs,,contributing building to historic district,,,,
