"","Major","Minor","BldgNbr","NbrLivingUnits","Address","BuildingNumber","Fraction","DirectionPrefix","StreetName","StreetType","DirectionSuffix","ZipCode","Stories","BldgGrade","BldgGradeVar","SqFt1stFloor","SqFtHalfFloor","SqFt2ndFloor","SqFtUpperFloor","SqFtUnfinFull","SqFtUnfinHalf","SqFtTotLiving","SqFtTotBasement","SqFtFinBasement","FinBasementGrade","SqFtGarageBasement","SqFtGarageAttached","DaylightBasement","SqFtOpenPorch","SqFtEnclosedPorch","SqFtDeck","HeatSystem","HeatSource","BrickStone","ViewUtilization","Bedrooms","BathHalfCount","Bath3qtrCount","BathFullCount","FpSingleStory","FpMultiStory","FpFreestanding","FpAdditional","YrBuilt","YrRenovated","PcntComplete","Obsolescence","PcntNetCondition","Condition","AddnlCost"
"1",56700,25,1,1,"811   30TH AVE S  98144","811","   ","  ","30TH                     ","AVE   ","S ","98144",2,8,0,1660,0,670,0,0,0,2330,790,0,0,480,0," ",80,0,150,5,2,0," ",2,1,0,2,0,0,1,0,1915,1994,0,0,0,3,0
"2",56700,105,1,1,"905   30TH AVE S  98144","905","   ","  ","30TH                     ","AVE   ","S ","98144",2.5,9,0,1080,300,1080,0,0,0,2460,1080,0,0,0,0," ",240,80,240,6,2,0," ",5,0,0,1,0,1,0,0,1909,0,0,0,0,4,0
"3",56700,150,1,1,"933   YAKIMA PL S  98144","933","   ","  ","YAKIMA                   ","PL    ","S ","98144",1.5,7,0,810,400,0,0,0,0,1410,810,200,5,0,0," ",0,0,0,5,2,0," ",2,0,0,1,0,1,0,0,1926,0,0,0,0,4,0
"4",56700,417,1,1,"2907  S NORMAN ST   98144","2907","   ","S ","NORMAN                   ","ST    ","  ","98144",3,8,0,480,0,500,425,0,0,1495,325,90,8,235,0,"Y",0,0,70,5,2,0,"N",3,1,0,2,1,0,0,0,2006,0,0,0,0,3,0
"5",56700,515,1,1,"803   YAKIMA AVE S  98144","803","   ","  ","YAKIMA                   ","AVE   ","S ","98144",1.5,6,0,830,350,0,0,0,0,1180,210,0,0,0,0,"N",70,0,140,2,2,0,"N",3,0,0,1,0,0,0,0,1918,0,0,0,0,3,0
"6",56700,525,1,1,"811   YAKIMA AVE S  98144","811","   ","  ","YAKIMA                   ","AVE   ","S ","98144",2,7,0,880,0,500,0,0,0,1380,0,0,0,0,0," ",220,0,0,5,3,0," ",3,0,0,2,0,1,0,0,1981,0,0,0,0,4,0
"7",56700,660,1,1,"831   29TH AVE S  98144","831","   ","  ","29TH                     ","AVE   ","S ","98144",1,7,0,1110,0,0,0,0,0,1490,1000,380,7,280,0,"Y",0,0,80,5,3,0,"N",4,0,0,2,0,1,0,1,1977,0,0,0,0,3,0
"8",56700,674,1,1,"2825  S CHARLES ST   98144","2825","   ","S ","CHARLES                  ","ST    ","  ","98144",2,7,0,530,0,550,0,0,0,1320,440,240,7,200,0,"Y",24,0,0,5,2,0,"N",3,1,2,1,1,0,0,0,2003,0,0,0,0,3,0
"9",57000,240,1,1,"1218  S LANDER ST   98144","1218","   ","S ","LANDER                   ","ST    ","  ","98144",2,8,0,1300,0,860,0,0,0,3460,1300,1300,6,0,0," ",60,0,240,5,2,25," ",3,1,0,1,0,1,0,0,1924,0,0,0,0,3,0
"10",42404,9049,1,1,"911   31ST AVE S  98144","911","   ","  ","31ST                     ","AVE   ","S ","98144",1,8,0,1330,0,0,0,0,0,1940,1330,610,6,200,0,"N",90,0,0,5,1,100,"N",3,0,1,1,0,1,0,1,1949,0,0,0,0,3,0
"11",42404,9068,1,1,"1113   26TH AVE S  98144","1113","   ","  ","26TH                     ","AVE   ","S ","98144",1.5,7,0,810,530,0,0,0,0,1340,810,0,0,0,0," ",0,0,0,5,2,0," ",2,0,0,2,1,0,0,0,1928,0,0,0,0,3,0
"12",59700,4,1,1,"3007   21ST AVE S  98144","3007","   ","  ","21ST                     ","AVE   ","S ","98144",1,6,0,770,0,0,0,0,0,770,0,0,0,0,0," ",0,0,0,5,1,100," ",2,0,0,1,0,0,0,0,1948,0,0,0,0,3,0
"13",59700,60,1,1,"3018   20TH AVE S  98144","3018","   ","  ","20TH                     ","AVE   ","S ","98144",2,7,0,860,0,1260,0,0,0,2120,0,0,0,0,520," ",0,0,120,5,2,0," ",5,0,1,2,1,0,0,0,1989,0,0,0,0,3,0
"14",59700,310,1,1,"3039   20TH AVE S  98144","3039","   ","  ","20TH                     ","AVE   ","S ","98144",1,7,0,1410,0,0,0,0,0,1710,540,300,6,0,0," ",0,0,0,5,1,0," ",4,0,0,1,0,0,0,0,1953,0,0,0,0,3,0
"15",59700,350,1,1,"3001   19TH AVE S  98144","3001","   ","  ","19TH                     ","AVE   ","S ","98144",1,6,0,980,0,0,0,0,0,980,700,0,0,160,60,"N",0,0,0,5,1,0,"N",2,0,0,1,1,0,0,0,1924,0,0,0,0,3,0
"16",59700,375,1,1,"1811  S STEVENS ST   98144","1811","   ","S ","STEVENS                  ","ST    ","  ","98144",1,7,0,1120,0,0,0,0,0,1320,1120,200,6,240,0," ",70,0,0,5,1,0," ",3,0,1,1,1,0,0,0,1948,0,0,0,0,3,0
"17",59700,415,1,1,"3034   18TH AVE S  98144","3034","   ","  ","18TH                     ","AVE   ","S ","98144",1.5,6,0,990,380,0,0,0,0,1370,990,0,0,0,0," ",50,0,0,5,2,0," ",3,0,0,1,0,1,0,0,1925,0,0,0,0,3,0
"18",59700,425,1,1,"3042   18TH AVE S  98144","3042","   ","  ","18TH                     ","AVE   ","S ","98144",1.5,7,0,1560,580,0,0,0,0,2740,1560,600,6,0,0," ",0,0,0,5,1,0," ",5,0,1,1,0,1,0,0,1915,0,0,0,0,3,0
"19",60600,120,1,1,"3217   19TH AVE S  98144","3217","   ","  ","19TH                     ","AVE   ","S ","98144",1,7,0,940,0,0,0,0,0,940,1090,0,0,0,0," ",0,160,0,5,1,0," ",3,0,0,1,1,0,0,0,1917,0,0,0,0,3,0
"20",60600,125,1,1,"3213   19TH AVE S  98144","3213","   ","  ","19TH                     ","AVE   ","S ","98144",1,7,0,1040,0,0,0,0,0,1040,1040,0,0,0,0," ",160,0,0,5,1,0," ",4,0,0,1,1,0,0,0,1913,0,0,0,0,3,0
"21",42404,9037,1,1,"1102   26TH AVE S  98144","1102","   ","  ","26TH                     ","AVE   ","S ","98144",1.5,6,0,750,300,0,0,0,0,1050,0,0,0,0,0,"N",60,0,0,5,2,0,"N",2,0,0,1,0,0,0,0,1908,0,0,0,0,3,0
"22",42404,9041,1,1,"910   31ST AVE S  98144","910","   ","  ","31ST                     ","AVE   ","S ","98144",1,8,0,1440,0,0,0,0,0,3140,1700,1700,7,0,0,"Y",0,0,740,6,2,0,"N",2,1,0,2,1,1,0,0,1929,1980,0,0,0,4,0
"23",42404,9072,1,1,"1123   26TH AVE S  98144","1123","   ","  ","26TH                     ","AVE   ","S ","98144",2,7,0,750,0,790,0,0,0,1540,0,0,0,0,210,"N",60,0,0,5,2,0," ",4,1,0,1,0,0,0,0,1995,0,0,0,0,3,0
"24",73000,97,1,1,"1312   MARTIN LUTHER KING JR WAY S  98144","1312","   ","  ","MARTIN LUTHER KING JR    ","WAY   ","S ","98144",2,7,0,510,0,480,0,0,0,990,0,0,0,0,0," ",0,0,0,5,2,0," ",2,0,0,1,0,0,0,0,1998,0,0,0,0,3,0
"25",73000,181,1,1,"2720  S IRVING ST   98144","2720","   ","S ","IRVING                   ","ST    ","  ","98144",2,7,0,574,0,863,0,0,0,1437,0,0,0,0,253," ",0,0,0,5,2,0," ",4,1,1,1,0,0,0,0,1998,0,0,0,0,3,0
"26",73000,186,1,1,"2716  S IRVING ST   98144","2716","   ","S ","IRVING                   ","ST    ","  ","98144",2,7,0,561,0,759,0,0,0,1320,0,0,0,0,253," ",0,0,0,5,2,0," ",3,1,0,1,0,0,0,0,1998,0,0,0,0,3,0
"27",42404,9039,1,1,"3207  S CHARLES ST   98144","3207","   ","S ","CHARLES                  ","ST    ","  ","98144",1,7,0,820,0,0,0,0,0,1640,820,820,6,0,0,"N",60,0,160,5,3,0,"N",3,0,0,2,0,0,0,0,1924,0,0,0,0,4,10000
"28",42404,9055,1,1,"2434  S JUDKINS ST   98144","2434","   ","S ","JUDKINS                  ","ST    ","  ","98144",1,7,0,770,0,0,0,0,0,770,770,0,0,0,0," ",0,0,0,6,1,0," ",2,0,0,1,0,0,0,0,1951,0,0,0,0,3,0
"29",42404,9061,1,1,"1109   26TH AVE S  98144","1109","   ","  ","26TH                     ","AVE   ","S ","98144",1.5,7,0,810,500,0,0,0,0,1310,810,0,0,0,0,"N",0,0,0,5,2,0,"N",2,0,0,1,0,1,0,0,1928,0,0,0,0,3,0
"30",56700,100,1,1,"800   YAKIMA AVE S  98144","800","   ","  ","YAKIMA                   ","AVE   ","S ","98144",1,8,0,880,0,0,0,0,0,1720,840,840,7,0,0," ",0,0,0,5,2,0," ",4,0,1,1,0,1,0,1,1972,2012,0,0,0,3,0
"31",56700,360,1,1,"1131   YAKIMA AVE S  98144","1131","   ","  ","YAKIMA                   ","AVE   ","S ","98144",1,9,0,1120,0,0,0,0,0,2240,1120,1120,8,0,0," ",210,0,0,6,2,0," ",4,0,0,2,1,0,0,0,1909,2008,0,0,0,3,0
"32",56700,680,1,1,"2821  S CHARLES ST   98144","2821","   ","S ","CHARLES                  ","ST    ","  ","98144",2,7,0,530,0,550,0,0,0,1320,440,240,7,200,0,"Y",24,0,0,5,2,0," ",3,1,2,1,1,0,0,0,2003,0,0,0,0,3,0
"33",56700,40,1,1,"831   30TH AVE S  98144","831","   ","  ","30TH                     ","AVE   ","S ","98144",1,7,0,1110,0,0,0,0,0,1710,1110,600,6,0,100,"Y",140,0,0,2,1,0," ",2,0,1,1,0,1,0,1,1907,0,0,0,0,3,0
