"","Address","City","State","ZIP"
"1","811 30TH AVE S","Seattle","WA","98144"
"2","905 30TH AVE S","Seattle","WA","98144"
"3","933 YAKIMA PL S","Seattle","WA","98144"
"4","2907 S NORMAN ST","Seattle","WA","98144"
"5","803 YAKIMA AVE S","Seattle","WA","98144"
"6","811 YAKIMA AVE S","Seattle","WA","98144"
"7","831 29TH AVE S","Seattle","WA","98144"
"8","2825 S CHARLES ST","Seattle","WA","98144"
"9","1218 S LANDER ST","Seattle","WA","98144"
"10","911 31ST AVE S","Seattle","WA","98144"
"11","1113 26TH AVE S","Seattle","WA","98144"
"12","3007 21ST AVE S","Seattle","WA","98144"
"13","3018 20TH AVE S","Seattle","WA","98144"
"14","3039 20TH AVE S","Seattle","WA","98144"
"15","3001 19TH AVE S","Seattle","WA","98144"
"16","1811 S STEVENS ST","Seattle","WA","98144"
"17","3034 18TH AVE S","Seattle","WA","98144"
"18","3042 18TH AVE S","Seattle","WA","98144"
"19","3217 19TH AVE S","Seattle","WA","98144"
"20","3213 19TH AVE S","Seattle","WA","98144"
"21","1102 26TH AVE S","Seattle","WA","98144"
"22","910 31ST AVE S","Seattle","WA","98144"
"23","1123 26TH AVE S","Seattle","WA","98144"
"24","1312 MARTIN LUTHER KING JR WAY S","Seattle","WA","98144"
"25","2720 S IRVING ST","Seattle","WA","98144"
"26","2716 S IRVING ST","Seattle","WA","98144"
"27","3207 S CHARLES ST","Seattle","WA","98144"
"28","2434 S JUDKINS ST","Seattle","WA","98144"
"29","1109 26TH AVE S","Seattle","WA","98144"
"30","800 YAKIMA AVE S","Seattle","WA","98144"
"31","1131 YAKIMA AVE S","Seattle","WA","98144"
"32","2821 S CHARLES ST","Seattle","WA","98144"
"33","831 30TH AVE S","Seattle","WA","98144"
"34","833 30TH AVE S","Seattle","WA","98144"
"35","2957 S DEARBORN ST","Seattle","WA","98144"
"36","921 YAKIMA PL S","Seattle","WA","98144"
"37","1132 YAKIMA AVE S","Seattle","WA","98144"
"38","2957 S NORMAN ST","Seattle","WA","98144"
"39","1116 29TH AVE S","Seattle","WA","98144"
"40","931 YAKIMA AVE S","Seattle","WA","98144"
"41","2817 S NORMAN ST","Seattle","WA","98144"
"42","1200 BRADNER PL S","Seattle","WA","98144"
"43","1517 B 23RD AVE S","Seattle","WA","98144"
"44","1116 26TH AVE S","Seattle","WA","98144"
"45","3028 20TH AVE S","Seattle","WA","98144"
"46","3044 20TH AVE S","Seattle","WA","98144"
"47","3062 20TH AVE S","Seattle","WA","98144"
"48","3016 19TH AVE S","Seattle","WA","98144"
"49","3032 19TH AVE S","Seattle","WA","98144"
"50","3038 19TH AVE S","Seattle","WA","98144"
"51","3050 19TH AVE S","Seattle","WA","98144"
"52","3020 18TH AVE S","Seattle","WA","98144"
"53","3010 17TH AVE S","Seattle","WA","98144"
"54","3223 18TH AVE S","Seattle","WA","98144"
"55","1802 S HORTON ST","Seattle","WA","98144"
"56","1806 S HORTON ST","Seattle","WA","98144"
"57","3233 19TH AVE S","Seattle","WA","98144"
"58","3029 21ST AVE S","Seattle","WA","98144"
"59","3029 20TH AVE S","Seattle","WA","98144"
"60","3014 18TH AVE S","Seattle","WA","98144"
"61","1800 S HANFORD ST","Seattle","WA","98144"
"62","3049 19TH AVE S","Seattle","WA","98144"
"63","3034 BEACON AVE S","Seattle","WA","98144"
"64","3045 BEACON AVE S","Seattle","WA","98144"
"65","3045 BEACON AVE S","Seattle","WA","98144"
"66","1703 32ND AVE S","Seattle","WA","98144"
"67","1707 32ND AVE S","Seattle","WA","98144"
"68","2731 S JUDKINS ST","Seattle","WA","98144"
"69","1121 30TH AVE S","Seattle","WA","98144"
"70","1128 YAKIMA AVE S","Seattle","WA","98144"
"71","916 A 29TH AVE S","Seattle","WA","98144"
"72","825 29TH AVE S","Seattle","WA","98144"
"73","2819 S NORMAN ST","Seattle","WA","98144"
"74","1109 29TH AVE S","Seattle","WA","98144"
"75","919 30TH AVE S","Seattle","WA","98144"
