Address,City,State,ZIP,,[sequence],[summary],[addressee],[delivery_line_1],[delivery_line_2],[city_name],[state_abbreviation],[full_zipcode],[notes],[county_name],[rdi],[latitude],[longitude],[precision],[dpv_match_code],[dpv_footnotes],[footnotes],[county_fips],[record_type],[zip_type],[carrier_route],[congressional_district],[building_default_indicator],[elot_sequence],[elot_sort],[time_zone],[utc_offset],[dst],[dpv_cmra],[ews_match],[lacslink_indicator],[lacslink_code],[suitelink_match],[dpv_vacant],[active],[urbanization],[primary_number],[street_name],[street_predirection],[street_postdirection],[street_suffix],[secondary_number],[secondary_designator],[extra_secondary_number],[extra_secondary_designator],[pmb_designator],[pmb_number],[default_city_name],[zipcode],[plus4_code],[delivery_point],[delivery_point_check_digit],[last_line],[delivery_point_barcode]
811 30TH AVE S,Seattle,WA,98144,,1,Match-Mailable,,811 30th Ave S,,Seattle,WA,98144-3205,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.5955,-122.29339,Zip9,Y,AABB,,53033,S,Standard,C032,9,,40,A,Pacific,-8,Y,N,,,,,N,Y,,811,30th,,S,Ave,,,,,,,,98144,3205,11,2,Seattle WA 98144-3205,9.81443E+11
905 30TH AVE S,Seattle,WA,98144,,2,Match-Mailable,,905 30th Ave S,,Seattle,WA,98144-3206,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.59431,-122.29342,Zip9,Y,AABB,,53033,S,Standard,C032,9,,42,A,Pacific,-8,Y,N,,,,,N,Y,,905,30th,,S,Ave,,,,,,,,98144,3206,5,8,Seattle WA 98144-3206,9.81443E+11
933 YAKIMA PL S,Seattle,WA,98144,,3,Match-Mailable,,933 Yakima Pl S,,Seattle,WA,98144-3149,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.59424,-122.29428,Zip9,Y,AABB,,53033,S,Standard,C032,9,,34,A,Pacific,-8,Y,N,,,,,N,Y,,933,Yakima,,S,Pl,,,,,,,,98144,3149,33,1,Seattle WA 98144-3149,9.81443E+11
2907 S NORMAN ST,Seattle,WA,98144,,4,Match-Mailable,,2907 S Norman St,,Seattle,WA,98144-3142,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.59323,-122.29532,Zip9,Y,AABB,,53033,S,Standard,C032,9,,26,D,Pacific,-8,Y,N,,,,,N,Y,,2907,Norman,S,,St,,,,,,,,98144,3142,7,7,Seattle WA 98144-3142,9.81443E+11
803 YAKIMA AVE S,Seattle,WA,98144,,5,Match-Mailable,,803 Yakima Ave S,,Seattle,WA,98144-3144,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.59553,-122.29443,Zip9,Y,AABB,,53033,S,Standard,C032,9,,28,D,Pacific,-8,Y,N,,,,,N,Y,,803,Yakima,,S,Ave,,,,,,,,98144,3144,3,9,Seattle WA 98144-3144,9.81443E+11
811 YAKIMA AVE S,Seattle,WA,98144,,6,Match-Mailable,,811 Yakima Ave S,,Seattle,WA,98144-3144,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.59553,-122.29443,Zip9,Y,AABB,,53033,S,Standard,C032,9,,28,D,Pacific,-8,Y,N,,,,,N,Y,,811,Yakima,,S,Ave,,,,,,,,98144,3144,11,0,Seattle WA 98144-3144,9.81443E+11
831 29TH AVE S,Seattle,WA,98144,,7,Match-Mailable,,831 29th Ave S,,Seattle,WA,98144-3121,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.59546,-122.29549,Zip9,Y,AABB,,53033,S,Standard,C052,9,,206,A,Pacific,-8,Y,N,,,,,N,Y,,831,29th,,S,Ave,,,,,,,,98144,3121,31,3,Seattle WA 98144-3121,9.81443E+11
2825 S CHARLES ST,Seattle,WA,98144,,8,Match-Mailable,,2825 S Charles St,,Seattle,WA,98144-3158,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.59439,-122.29634,Zip9,Y,AABB,,53033,S,Standard,C052,9,,210,A,Pacific,-8,Y,N,,,,,N,Y,,2825,Charles,S,,St,,,,,,,,98144,3158,25,0,Seattle WA 98144-3158,9.81443E+11
1218 S LANDER ST,Seattle,WA,98144,,9,Match-Mailable,,1218 S Lander St,,Seattle,WA,98144-5037,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.57957,-122.3162,Zip9,Y,AABB,,53033,S,Standard,C015,9,,37,A,Pacific,-8,Y,N,,,,,N,Y,,1218,Lander,S,,St,,,,,,,,98144,5037,18,0,Seattle WA 98144-5037,9.81445E+11
911 31ST AVE S,Seattle,WA,98144,,10,Match-Mailable,,911 31st Ave S,,Seattle,WA,98144-3212,"Standardized, Matched street and city and state, Confirmed entire address",King,Residential,47.59419,-122.29283,Zip9,Y,AABB,,53033,S,Standard,C032,9,,52,A,Pacific,-8,Y,N,,,,,N,Y,,911,31st,,S,Ave,,,,,,,,98144,3212,11,4,Seattle WA 98144-3212,9.81443E+11
